LegacyTypeIdentity	StableFullName	CurrentAssembly	CurrentTypeIdentity	MigrationPolicy
XREngine.Rendering.UI.MenuOption, XREngine	XREngine.Rendering.UI.MenuOption	XREngine.Runtime.Rendering	XREngine.Rendering.UI.MenuOption, XREngine.Runtime.Rendering	StableFullNameFallback
XREngine.Rendering.UI.NumberInput, XREngine	XREngine.Rendering.UI.NumberInput	XREngine.Runtime.Rendering	XREngine.Rendering.UI.NumberInput, XREngine.Runtime.Rendering	StableFullNameFallback
XREngine.Rendering.UI.RiveUIComponent, XREngine	XREngine.Rendering.UI.RiveUIComponent	XREngine.Runtime.Rendering	XREngine.Rendering.UI.RiveUIComponent, XREngine.Runtime.Rendering	StableFullNameFallback
XREngine.Rendering.UI.StateMachineInput, XREngine	XREngine.Rendering.UI.StateMachineInput	XREngine.Runtime.Rendering	XREngine.Rendering.UI.StateMachineInput, XREngine.Runtime.Rendering	StableFullNameFallback
XREngine.Rendering.UI.TriggerInput, XREngine	XREngine.Rendering.UI.TriggerInput	XREngine.Runtime.Rendering	XREngine.Rendering.UI.TriggerInput, XREngine.Runtime.Rendering	StableFullNameFallback
XREngine.Rendering.UI.UIBoundableTransform, XREngine	XREngine.Rendering.UI.UIBoundableTransform	XREngine.Runtime.Rendering	XREngine.Rendering.UI.UIBoundableTransform, XREngine.Runtime.Rendering	StableFullNameFallback
XREngine.Rendering.UI.UIButtonComponent, XREngine	XREngine.Rendering.UI.UIButtonComponent	XREngine.Runtime.Rendering	XREngine.Rendering.UI.UIButtonComponent, XREngine.Runtime.Rendering	StableFullNameFallback
XREngine.Rendering.UI.UIByteInputComponent, XREngine	XREngine.Rendering.UI.UIByteInputComponent	XREngine.Runtime.Rendering	XREngine.Rendering.UI.UIByteInputComponent, XREngine.Runtime.Rendering	StableFullNameFallback
XREngine.Rendering.UI.UICanvasTransform, XREngine	XREngine.Rendering.UI.UICanvasTransform	XREngine.Runtime.Rendering	XREngine.Rendering.UI.UICanvasTransform, XREngine.Runtime.Rendering	StableFullNameFallback
XREngine.Rendering.UI.UIChildPlacementInfo, XREngine	XREngine.Rendering.UI.UIChildPlacementInfo	XREngine.Runtime.Rendering	XREngine.Rendering.UI.UIChildPlacementInfo, XREngine.Runtime.Rendering	StableFullNameFallback
XREngine.Rendering.UI.UIComboBoxComponent, XREngine	XREngine.Rendering.UI.UIComboBoxComponent	XREngine.Runtime.Rendering	XREngine.Rendering.UI.UIComboBoxComponent, XREngine.Runtime.Rendering	StableFullNameFallback
XREngine.Rendering.UI.UIComponent, XREngine	XREngine.Rendering.UI.UIComponent	XREngine.Runtime.Rendering	XREngine.Rendering.UI.UIComponent, XREngine.Runtime.Rendering	StableFullNameFallback
XREngine.Rendering.UI.UIContextMenuComponent, XREngine	XREngine.Rendering.UI.UIContextMenuComponent	XREngine.Runtime.Rendering	XREngine.Rendering.UI.UIContextMenuComponent, XREngine.Runtime.Rendering	StableFullNameFallback
XREngine.Rendering.UI.UIDateTimeInputComponent, XREngine	XREngine.Rendering.UI.UIDateTimeInputComponent	XREngine.Runtime.Rendering	XREngine.Rendering.UI.UIDateTimeInputComponent, XREngine.Runtime.Rendering	StableFullNameFallback
XREngine.Rendering.UI.UIDecimalInputComponent, XREngine	XREngine.Rendering.UI.UIDecimalInputComponent	XREngine.Runtime.Rendering	XREngine.Rendering.UI.UIDecimalInputComponent, XREngine.Runtime.Rendering	StableFullNameFallback
XREngine.Rendering.UI.UIDockableTransform, XREngine	XREngine.Rendering.UI.UIDockableTransform	XREngine.Runtime.Rendering	XREngine.Rendering.UI.UIDockableTransform, XREngine.Runtime.Rendering	StableFullNameFallback
XREngine.Rendering.UI.UIDockingPlacementInfo, XREngine	XREngine.Rendering.UI.UIDockingPlacementInfo	XREngine.Runtime.Rendering	XREngine.Rendering.UI.UIDockingPlacementInfo, XREngine.Runtime.Rendering	StableFullNameFallback
XREngine.Rendering.UI.UIDockingRootComponent, XREngine	XREngine.Rendering.UI.UIDockingRootComponent	XREngine.Runtime.Rendering	XREngine.Rendering.UI.UIDockingRootComponent, XREngine.Runtime.Rendering	StableFullNameFallback
XREngine.Rendering.UI.UIDockingRootTransform, XREngine	XREngine.Rendering.UI.UIDockingRootTransform	XREngine.Runtime.Rendering	XREngine.Rendering.UI.UIDockingRootTransform, XREngine.Runtime.Rendering	StableFullNameFallback
XREngine.Rendering.UI.UIDoubleInputComponent, XREngine	XREngine.Rendering.UI.UIDoubleInputComponent	XREngine.Runtime.Rendering	XREngine.Rendering.UI.UIDoubleInputComponent, XREngine.Runtime.Rendering	StableFullNameFallback
XREngine.Rendering.UI.UIDualSplitTransform, XREngine	XREngine.Rendering.UI.UIDualSplitTransform	XREngine.Runtime.Rendering	XREngine.Rendering.UI.UIDualSplitTransform, XREngine.Runtime.Rendering	StableFullNameFallback
XREngine.Rendering.UI.UIFittedTransform, XREngine	XREngine.Rendering.UI.UIFittedTransform	XREngine.Runtime.Rendering	XREngine.Rendering.UI.UIFittedTransform, XREngine.Runtime.Rendering	StableFullNameFallback
XREngine.Rendering.UI.UIFloatInputComponent, XREngine	XREngine.Rendering.UI.UIFloatInputComponent	XREngine.Runtime.Rendering	XREngine.Rendering.UI.UIFloatInputComponent, XREngine.Runtime.Rendering	StableFullNameFallback
XREngine.Rendering.UI.UIGridTransform, XREngine	XREngine.Rendering.UI.UIGridTransform	XREngine.Runtime.Rendering	XREngine.Rendering.UI.UIGridTransform, XREngine.Runtime.Rendering	StableFullNameFallback
XREngine.Rendering.UI.UIInspectorEditorComponent, XREngine	XREngine.Rendering.UI.UIInspectorEditorComponent	XREngine.Runtime.Rendering	XREngine.Rendering.UI.UIInspectorEditorComponent, XREngine.Runtime.Rendering	StableFullNameFallback
XREngine.Rendering.UI.UIIntInputComponent, XREngine	XREngine.Rendering.UI.UIIntInputComponent	XREngine.Runtime.Rendering	XREngine.Rendering.UI.UIIntInputComponent, XREngine.Runtime.Rendering	StableFullNameFallback
XREngine.Rendering.UI.UIInteractableComponent, XREngine	XREngine.Rendering.UI.UIInteractableComponent	XREngine.Runtime.Rendering	XREngine.Rendering.UI.UIInteractableComponent, XREngine.Runtime.Rendering	StableFullNameFallback
XREngine.Rendering.UI.UILayoutSystem, XREngine	XREngine.Rendering.UI.UILayoutSystem	XREngine.Runtime.Rendering	XREngine.Rendering.UI.UILayoutSystem, XREngine.Runtime.Rendering	StableFullNameFallback
XREngine.Rendering.UI.UIListTransform, XREngine	XREngine.Rendering.UI.UIListTransform	XREngine.Runtime.Rendering	XREngine.Rendering.UI.UIListTransform, XREngine.Runtime.Rendering	StableFullNameFallback
XREngine.Rendering.UI.UILongInputComponent, XREngine	XREngine.Rendering.UI.UILongInputComponent	XREngine.Runtime.Rendering	XREngine.Rendering.UI.UILongInputComponent, XREngine.Runtime.Rendering	StableFullNameFallback
XREngine.Rendering.UI.UIMaterialComponent, XREngine	XREngine.Rendering.UI.UIMaterialComponent	XREngine.Runtime.Rendering	XREngine.Rendering.UI.UIMaterialComponent, XREngine.Runtime.Rendering	StableFullNameFallback
XREngine.Rendering.UI.UIMultiSplitTransform, XREngine	XREngine.Rendering.UI.UIMultiSplitTransform	XREngine.Runtime.Rendering	XREngine.Rendering.UI.UIMultiSplitTransform, XREngine.Runtime.Rendering	StableFullNameFallback
XREngine.Rendering.UI.UIPropertyTextDriverComponent, XREngine	XREngine.Rendering.UI.UIPropertyTextDriverComponent	XREngine.Runtime.Rendering	XREngine.Rendering.UI.UIPropertyTextDriverComponent, XREngine.Runtime.Rendering	StableFullNameFallback
